sku,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visibility,price,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,qty,is_in_stock,website_id,additional_images,additional_image_labels,njm_sku,njm_name,dimensions
mf-000552,customOptionsSet,simple,"Default Category/Lighting,Default Category/Lighting/Table Lamps",base,Camillus table lamp - red,"The Camillus Table Lamp offers a playfully iridescent light pattern from its detailed acrylic design. Available in a range of colors, it's sure to delight in any space it illuminates.",20,1,Taxable Goods,"Catalog, Search",359,Camillus-table-lamp-red.jpg,,Camillus-table-lamp-red.jpg,,Camillus-table-lamp-red.jpg,,1000,1,0,Camillus-table-lamp-red1.jpg,,16M-EEI-666-R,madeline table lamp - red,"14.5""L x 14.5""W x 28""H
<br />Shade: 10""L x 10""W
<br />Cord: 39""L"
nl-000638,customOptionsSet,simple,"Default Category/Lighting,Default Category/Lighting/Ceiling Lighting",base,Canaan pendant lamp,"Hand-blown, vacuum-plated borosilicate glass baubles create a stunning feature in the Canaan pendant lamp. Its modern, silver-rod starburst design, with anodized aluminum decoration, makes a stunning lighting accent in any environment. Requires 12 x G9 40 watt bulbs (included).",11,1,Taxable Goods,"Catalog, Search",549,Canaan-pendant-lamp.jpg,,Canaan-pendant-lamp.jpg,,Canaan-pendant-lamp.jpg,,1000,1,0,Canaan-pendant-lamp1.jpg,,18N-HGHO139,sylvie pendant lamp,"32"" x 79 1/2""<br />Fixture height: 15.5""<br />Each ball: 4""<br />Overall height adjustable up to 80""</p>"
nl-000663,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Coffee Tables",base,Canandaigua coffee table,"A timeless addition to the living room, our Canandaigua coffee table is a versatile accent piece in any modern home. Its marble top - available in two sizes - sits upon a metallic base finished in brushed gold or stainless, and is also offered as a side table (sold separately).",180,1,Taxable Goods,"Catalog, Search",749,Canandaigua-coffee-table.jpg,,Canandaigua-coffee-table.jpg,,Canandaigua-coffee-table.jpg,,1000,1,0,,,18N-HGNA116,narrows coffee table,"48 x 24 x 15¾"""
nl-000665,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Side Tables",base,Canandaigua side table,"A timeless addition to the living room, our Canandaigua side table is a versatile accent piece in any modern home. Its square marble top sits upon a metallic base finished in brushed gold or polished stainless, and is also offered as a coffee table (sold separately).",120,1,Taxable Goods,"Catalog, Search",389,Canandaigua-side-table.jpg,,Canandaigua-side-table.jpg,,Canandaigua-side-table.jpg,,1000,1,0,Canandaigua-side-table1.jpg,,18N-HGNA128,narrows side table,"19""¾ x 19""¾ x 22¾"""
nl-000664,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Coffee Tables",base,Canandaigua square coffee table,"A timeless addition to the living room, our Canandaigua coffee table is a versatile accent piece in any modern home. Its marble top - available in two sizes - sits upon a metallic base finished in brushed gold or stainless, and is also offered as a side table (sold separately).",150,1,Taxable Goods,"Catalog, Search",799,Canandaigua-square-coffee-table.jpg,,Canandaigua-square-coffee-table.jpg,,Canandaigua-square-coffee-table.jpg,,1000,1,0,,,18N-HGNA122,narrows coffee table - square,"36 x 36 x 15¾"""
nl-000596,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Lounge Chair",base,Candor lounge chair,A+D Modern's Candor lounge chair features a black powder coat frame in your choice of grey or black nauga leatherette upholstery.,100,1,Taxable Goods,"Catalog, Search",1399,Candor-lounge-chair.jpg,,Candor-lounge-chair.jpg,,Candor-lounge-chair.jpg,,1000,1,0,Candor-lounge-chair1.jpg,,18N-HGDJ924,martina lounge chair,
nl-000597,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Side Tables",base,Caneadea side table,"An elegant embodiment of mid-century modern style, our side table makes a wonderful accent piece in your home. Featuring a solid marble top and base, its polished gold stem adds a finishing flourish.",120,1,Taxable Goods,"Catalog, Search",449,Caneadea-side-table.jpg,,Caneadea-side-table.jpg,,Caneadea-side-table.jpg,,1000,1,0,,,18N-HGDJ955,neptune side table,"17""¾ x 17""¾ x 17"""
jo-000344,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Office Furniture,Default Category/Modern Furniture/Office Furniture/Office Chairs",base,Canton high back management chair,"A+D Modern's Canton high back management chair features clean lines with a tall back and wing arms. An ideal option for the home or office desk space, it is crafted from softly padded vegan leather and a chrome wheelbase.",38,1,Taxable Goods,"Catalog, Search",429,Canton-high-back-management-chair.jpg,,Canton-high-back-management-chair.jpg,,Canton-high-back-management-chair.jpg,,1000,1,0,"Canton-high-back-management-chair1.jpg,Canton-high-back-management-chair2.jpg,Canton-high-back-management-chair3.jpg,Canton-high-back-management-chair4.jpg,Canton-high-back-management-chair5.jpg,Canton-high-back-management-chair6.jpg",,13J-M30,lombardy high back management chair,"W26 x D26.77 x H49.2 - 51.9"""
jo-000345,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Office Furniture,Default Category/Modern Furniture/Office Furniture/Office Chairs",base,Canton management chair,"A+D Modern's Canton management chair features clean lines with contoured wing arms. An ideal option for the home or office desk space, it is crafted from softly padded vegan leather and a chrome wheelbase.",30,1,Taxable Goods,"Catalog, Search",489,Canton-management-chair.jpg,,Canton-management-chair.jpg,,Canton-management-chair.jpg,,1000,1,0,"Canton-management-chair1.jpg,Canton-management-chair2.jpg,Canton-management-chair3.jpg,Canton-management-chair4.jpg,Canton-management-chair5.jpg,Canton-management-chair6.jpg",,13J-M31,lombardy management chair,"W25.6 x D26.77 x H39.7"""
tf-000982,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom",base,Carrollton bed,"Brimming with retro-chic style, A+D Modern's Carrolton bed offers a clean and contemporary look for your master suite. The kiln dried wood frame sits upon flared rubber wood legs and is finished in linen upholstery with piped edge detailing around its silhouette. No box spring required. Slats included. Some assembly required.",130,1,Taxable Goods,"Catalog, Search",1099,Carrollton-bed.jpg,,Carrollton-bed.jpg,,Carrollton-bed.jpg,,1000,1,0,"Carrollton-bed1.jpg,Carrollton-bed2.jpg,Carrollton-bed3.jpg,Carrollton-bed4.jpg,Carrollton-bed5.jpg,Carrollton-bed6.jpg,Carrollton-bed7.jpg",,25T-TOV-B14,louisiana bed,"FULL: 66.5""W x 87""D x 45.65H
<br />QUEEN: 73.25""W x 91.75""D x 45.65H
<br />KING: 88.8""W x 91.75""D x 45.65H"
mf-000418,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Castleton piston barstool,"Our Castleton piston barstool is a reproduction of the contemporary modern design from 2000. It is constructed with sculptural stainless steel, beech wood, and leather seat that not only swivels but easily adjusts from counter height to bar height using a gas cylinder activated lever. This versatile stool serves as a stylish piece for any modern kitchen counter or bar table setting.",30,1,Taxable Goods,"Catalog, Search",429,Castleton-piston-barstool.jpg,,Castleton-piston-barstool.jpg,,Castleton-piston-barstool.jpg,,1000,1,0,"Castleton-piston-barstool1.jpg,Castleton-piston-barstool2.jpg,Castleton-piston-barstool3.jpg,Castleton-piston-barstool4.jpg,Castleton-piston-barstool5.jpg",,16M-EEI-138,LEM piston bar stool,"14""L x 16""W x 28.5 - 33""H
<br />Seat Height: 13""L x 16""W x 27 - 31.5""H
<br />Base 14.5""L x 14.5""W"
tf-000989,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Catharine side chair,"A versatile seating option for the dining room or as an elegant living room accent, A+D Modern's Catharine velvet chair offers something special with its sophisticated style. The clean contours are crafted in a plush velvet upholstery with a stainless steel back handle and matching flared legs.",27,1,Taxable Goods,"Catalog, Search",529,Catharine-side-chair.jpg,,Catharine-side-chair.jpg,,Catharine-side-chair.jpg,,1000,1,0,"Catharine-side-chair1.jpg,Catharine-side-chair2.jpg,Catharine-side-chair3.jpg,Catharine-side-chair4.jpg,Catharine-side-chair5.jpg,Catharine-side-chair6.jpg,Catharine-side-chair7.jpg,Catharine-side-chair8.jpg,Catharine-side-chair9.jpg",,25T-TOV-D46,mckibben velvet chair,"22""W x 24.8""D x 33.7""H"
tf-000978,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Cato dining chair,A+D Modern's Cato dining chair has a clean form that creates a modern accent piece as a living room side chair or at the dining room table. It is available in three upholstery options and sits on translucent acrylic legs.,35,1,Taxable Goods,"Catalog, Search",649,Cato-dining-chair.jpg,,Cato-dining-chair.jpg,,Cato-dining-chair.jpg,,1000,1,0,"Cato-dining-chair1.jpg,Cato-dining-chair2.jpg,Cato-dining-chair3.jpg,Cato-dining-chair4.jpg,Cato-dining-chair5.jpg,Cato-dining-chair6.jpg,Cato-dining-chair7.jpg,Cato-dining-chair8.jpg",,25T-TOV-A85,legion dining chair,"32.1""W x 27.15""D x 30.3""H "
tf-000988,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Caton dining chair,A+D Modern's Caton dining chair has a comfortable and broad seat making it suitable for use at the table as well as an attractive accent side chair. Its square leg base is crafted from polished gold stainless steel and is finished in navy velvet or black and white stripe upholstery. Also available in beige linen upholstery with brass base.,24,1,Taxable Goods,"Catalog, Search",579,Caton-dining-chair.jpg,,Caton-dining-chair.jpg,,Caton-dining-chair.jpg,,1000,1,0,"Caton-dining-chair1.jpg,Caton-dining-chair2.jpg,Caton-dining-chair3.jpg,Caton-dining-chair4.jpg,Caton-dining-chair5.jpg,Caton-dining-chair6.jpg,Caton-dining-chair7.jpg,Caton-dining-chair8.jpg",,25T-TOV-D41,lawton dining chair,"20""W x 22.8""D x 34.45""H"
th-001307,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods",base,Centerville sideboard,"A+D Modern's Centerville sideboard is one of those pieces no space should do without and features plenty of storage inside, touch-open doors, and great lines on the outside. Its white body is finished with either a walnut or oak top to deliver both functionality and design.",150,1,Taxable Goods,"Catalog, Search",1099,Centerville-sideboard.jpg,,Centerville-sideboard.jpg,,Centerville-sideboard.jpg,,1000,1,0,"Centerville-sideboard1.jpg,Centerville-sideboard2.jpg,Centerville-sideboard3.jpg,Centerville-sideboard4.jpg",,31T-9500.621697,marginal sideboard,"H29"" x W79"" x D17""
<br />Body set 7.4"" off the ground.
<br />Behind each door is 20.8"" high x 18.5"" wide x 14.9"" deep cabinet space, and one adjustable shelf"
md-000356,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom",base,Central king bed,"Adorn your bedroom with the Central bed. Its strong appearance features a tall leather panel-tufted headboard standing five feet tall. Tapered leather side rails and footboard complete the bed, and because of its trim proportions, the Central can accommodate any limited space rooms. Low profile chrome feet finish its modern appearance perfectly. The mattress sits snuggly atop a solid pine-slat base for stylistic durability and added comfort. Platform height measures 14 inches (2 inch inset). Available in California-King, Standard King, Queen, and Full sizes. Colors available include White and Grey bonded leathers. Assembly required. Mattress not included. Imported.",330,1,Taxable Goods,"Catalog, Search",2099,Central-king-bed.jpg,,Central-king-bed.jpg,,Central-king-bed.jpg,,1000,1,0,"Central-king-bed1.jpg,Central-king-bed2.jpg,Central-king-bed3.jpg,Central-king-bed4.jpg,Central-king-bed5.jpg,Central-king-bed6.jpg,Central-king-bed7.jpg",,15M-MD319-K,prince bed - king,King: 82w x 85d x 61h<br />Cal-King: 78w x 89d x 61h<br />Queen: 66w x 85d x 61h<br />Platform height measures 14 inches (2 inch inset)
md-000357,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom",base,Central queen bed,"Adorn your bedroom with the Central bed. Its strong appearance features a tall leather panel-tufted headboard standing five feet tall. Tapered leather side rails and footboard complete the bed, and because of its trim proportions, the Central can accommodate any limited space rooms. Low profile chrome feet finish its modern appearance perfectly. The mattress sits snuggly atop a solid pine-slat base for stylistic durability and added comfort. Platform height measures 14 inches (2 inch inset). Available in California-King, Standard King, Queen, and Full sizes. Colors available include White and Grey bonded leathers. Assembly required. Mattress not included. Imported",230,1,Taxable Goods,"Catalog, Search",2089,Central-queen-bed.jpg,,Central-queen-bed.jpg,,Central-queen-bed.jpg,,1000,1,0,"Central-queen-bed1.jpg,Central-queen-bed2.jpg,Central-queen-bed3.jpg,Central-queen-bed4.jpg,Central-queen-bed5.jpg,Central-queen-bed6.jpg,Central-queen-bed7.jpg",,15M-MD319-Q ,prince bed - queen,"<br />Queen: 66w x 85d x 61h
<br />King: 82w x 85d x 61h
<br />Cal-King: 78w x 89d x 61h
<br />Platform height measures 14 inches (2 inch inset)"
tf-001032,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Champion ottoman,"Brilliantly versatile, A+D Modern's Champion ottoman serves as the perfect perch for your feet, surface for magazines, or casual seating space. The broadly padded cushion features sophisticated button tufting and is finished with a sleek steel frame to accentuate its clean lines.
",33,1,Taxable Goods,"Catalog, Search",599,Champion-ottoman.jpg,,Champion-ottoman.jpg,,Champion-ottoman.jpg,,1000,1,0,"Champion-ottoman1.jpg,Champion-ottoman2.jpg,Champion-ottoman3.jpg,Champion-ottoman4.jpg",,25T-TOV-O97,marcus ottoman,"33.5""W x 30""D x 15.2""H"
tf-001033,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Benches",base,Champlain bench,"Modern and minimal, A+D Modern's Champlain bench is an eye-catching choice for your home's entryway, bedroom or more. Featuring a simple form in a polish metal frame, its stylish look is a winning formula for high-end design.
",25,1,Taxable Goods,"Catalog, Search",429,Champlain-bench.jpg,,Champlain-bench.jpg,,Champlain-bench.jpg,,1000,1,0,"Champlain-bench1.jpg,Champlain-bench2.jpg,Champlain-bench3.jpg,Champlain-bench4.jpg,Champlain-bench5.jpg,Champlain-bench6.jpg,Champlain-bench7.jpg",,25T-TOV-OC3714,marcy bench,"19.7""W x 25.2""D x 24.8""H"
nl-000622,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Charlotte bar stool,"Our Cherner spelto-inspired bar stool features molded compound plywood curves in a walnut finish. It makes a wonderful choice for the modern kitchen and is also available as a dining chair or counter stool, with or without a padded leather seat pad.",25,1,Taxable Goods,"Catalog, Search",399,Charlotte-bar-stool.jpg,,Charlotte-bar-stool.jpg,,Charlotte-bar-stool.jpg,,1000,1,0,,,18N-HGEM796,spelto bar stool,"18""½ x 21""¼ x 43""¼"""
fm-000245,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Charlotte counter stool,"Our replica Cherner spelto counter stool is molded plywood seat utilizes a unique construction of laminated plywood of graduated thickness. The number of plies varies from 15 at the 'throat' of the seat to 5 laminations at the seat's perimeter. This feature, plus the molding of compound curves, permits a structurally superior design which is sculpted in form and posture supporting. Available in Dark Walnut and natural walnut veneer finish bent plywood.",30,1,Taxable Goods,"Catalog, Search",429,Charlotte-counter-stool.jpg,,Charlotte-counter-stool.jpg,,Charlotte-counter-stool.jpg,,1000,1,0,"Charlotte-counter-stool1.jpg,Charlotte-counter-stool2.jpg,Charlotte-counter-stool3.jpg,Charlotte-counter-stool4.jpg,Charlotte-counter-stool5.jpg",,08F-FMI9253,spelto counter stool,"44""H x 17""W x 17""D
<br />Seat 30"""
nl-000621,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Charlotte padded bar stool,"Our Cherner spelto-inspired bar stool features molded compound plywood curves in a walnut finish, with a padded leather seat and back pad. It makes a wonderful choice for the modern kitchen and is also available as a dining chair or counter stool.",25,1,Taxable Goods,"Catalog, Search",559,Charlotte-padded-bar-stool.jpg,,Charlotte-padded-bar-stool.jpg,,Charlotte-padded-bar-stool.jpg,,1000,1,0,,,18N-HGEM791,spelto padded bar stool,"18""½ x 21""¼ x 43""¼"""
nl-000620,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Charlotte padded counter stool,"Our Cherner spelto-inspired counter stool features molded compound plywood curves in a walnut finish, with a padded leather seat and back pad. It makes a wonderful choice for the modern kitchen and is also available as a dining chair or bar stool.",25,1,Taxable Goods,"Catalog, Search",559,Charlotte-padded-counter-stool.jpg,,Charlotte-padded-counter-stool.jpg,,Charlotte-padded-counter-stool.jpg,,1000,1,0,,,18N-HGEM787,spelto padded counter stool,"18""½ x 21""¼ x 40""¼"""
nl-000619,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Charlotte padded dining chair,"Our Cherner spelto-inspired dining chair features molded compound plywood curves in a walnut finish, with a padded leather seat and back pad. It makes a wonderful choice for the modern dining room or as a stylish accent side chair.",25,1,Taxable Goods,"Catalog, Search",449,Charlotte-padded-dining-chair.jpg,,Charlotte-padded-dining-chair.jpg,,Charlotte-padded-dining-chair.jpg,,1000,1,0,,,18N-HGEM784,spelto padded dining chair,"17""¼ x 21""½ x 32""
"
ae-000045,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Charlotte side chair,"<p>Our replica Cherner spelto dining side chair with molded plywood seat utilizes a unique construction of laminated plywood of graduated thickness. The number of plies varies from 15 at the 'throat' of the seat to 5 laminations at the seat's perimeter. This feature, plus the molding of compound curves, permits a structurally superior design which is sculpted in form and posture supporting.</p><p>American walnut veneer, natural finish bent plywood.</p>",25,1,Taxable Goods,"Catalog, Search",149,Charlotte-side-chair.jpg,,Charlotte-side-chair.jpg,,Charlotte-side-chair.jpg,,1000,1,0,"Charlotte-side-chair1.jpg,Charlotte-side-chair2.jpg,Charlotte-side-chair3.jpg,Charlotte-side-chair4.jpg,Charlotte-side-chair5.jpg,Charlotte-side-chair6.jpg,Charlotte-side-chair7.jpg,Charlotte-side-chair8.jpg,Charlotte-side-chair9.jpg",,01A-CH9110,spelto side chair,18w x 20d x 32h
cs-000144,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs",base,Chazy chair,"<p>This is our replica knoll spoleto chair. Ufficio Tecnico, Knoll International's in-house team of engineers and designers, introduced the award-winning Spoleto chair in 1971 to offer a quintessential modern side chair in a more compact envelope, appropriate for tighter spaces.<p><strong>Features at a Glance:</strong></p>
<p><strong>Design Year: 1958</strong></p>
<ul>
<li>Frame made of seamless tubular steel in polished chrome finish</li>
</ul>",25,1,Taxable Goods,"Catalog, Search",429,Chazy-chair.jpg,,Chazy-chair.jpg,,Chazy-chair.jpg,,1000,1,0,"Chazy-chair1.jpg,Chazy-chair2.jpg",,03C-S-FEC6119,spoleto chair,"32"" H x 18.5"" W x 25"" D<br />Seat Height: 14"""
jo-000346,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Office Furniture,Default Category/Modern Furniture/Office Furniture/Office Chairs",base,Chester office chair,"Marrying designer style with comfortable function, A+D Modern's Chester office chair is a workstation winner. Its swivel frame is crafted in a sophisticated brushed gold metal, with a PVC seat and woven backrest.",30,1,Taxable Goods,"Catalog, Search",189,Chester-office-chair.jpg,,Chester-office-chair.jpg,,Chester-office-chair.jpg,,1000,1,0,"Chester-office-chair1.jpg,Chester-office-chair2.jpg,Chester-office-chair3.jpg,Chester-office-chair4.jpg",,13J-M356,mac office chair,"W21.8"" x D22.2""""¨x H36.3""""¨"
mf-000412,customOptionsSet,simple,"Default Category/Lighting,Default Category/Lighting/Ceiling Lighting",base,"Claverack 16"" ceiling lamp","Spin together the right moments with A+D Modern's Claverack 16"" ceiling lamp. Inspired by the craft of a seamstress, this modern pendant light combines the traditional elements of weaving with a progressive infusion of light. Constructed of heat resistant cotton thread, Claverack is a charming piece that presents the piercing persistence of light in a most magnificent way. Available in black or white and also as a 24"" pendant.",10,1,Taxable Goods,"Catalog, Search",199,Claverack-16-ceiling-lamp.jpg,,Claverack-16-ceiling-lamp.jpg,,Claverack-16-ceiling-lamp.jpg,,1000,1,0,"Claverack-16-ceiling-lamp1.jpg,Claverack-16-ceiling-lamp2.jpg,Claverack-16-ceiling-lamp3.jpg,Claverack-16-ceiling-lamp4.jpg,Claverack-16-ceiling-lamp5.jpg,Claverack-16-ceiling-lamp6.jpg,Claverack-16-ceiling-lamp7.jpg,Claverack-16-ceiling-lamp8.jpg",,16M-EEI-1232,"spool 16"" ceiling lamp","15.5""L x 15.5""W x 15.5""H
<br />Cord: 59""L"
mf-000413,customOptionsSet,simple,"Default Category/Lighting,Default Category/Lighting/Ceiling Lighting",base,"Claverack 24"" ceiling lamp","Spin together the right moments with A+D Modern's Claverack 24"" ceiling lamp. Inspired by the craft of a seamstress, this modern pendant light combines the traditional elements of weaving with a progressive infusion of light. Constructed of heat resistant cotton thread, Claverack is a charming piece that presents the piercing persistence of light in a most magnificent way. Available in black or white and also as a 16"" pendant.",10,1,Taxable Goods,"Catalog, Search",429,Claverack-24-ceiling-lamp.jpg,,Claverack-24-ceiling-lamp.jpg,,Claverack-24-ceiling-lamp.jpg,,1000,1,0,"Claverack-24-ceiling-lamp1.jpg,Claverack-24-ceiling-lamp2.jpg,Claverack-24-ceiling-lamp3.jpg,Claverack-24-ceiling-lamp4.jpg,Claverack-24-ceiling-lamp5.jpg,Claverack-24-ceiling-lamp6.jpg,Claverack-24-ceiling-lamp7.jpg,Claverack-24-ceiling-lamp8.jpg",,16M-EEI-1233,"spool 24"" ceiling lamp","23.5""L x 23.5""W x 23.5""H
<br />Cord: 59""L"
tf-000964,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Clermont armchair,"The epitome of mid-century modern style, A+D Modern's Clermont armchair makes a wonderful casual seating addition to any relaxation space. Crafted in luxurious velvet upholstery with button tuft detail, its clean lines are finished in flared solid Beech legs with gold tip embellishments.
",48,1,Taxable Goods,"Catalog, Search",879,Clermont-armchair.jpg,,Clermont-armchair.jpg,,Clermont-armchair.jpg,,1000,1,0,"Clermont-armchair1.jpg,Clermont-armchair2.jpg,Clermont-armchair3.jpg,Clermont-armchair4.jpg,Clermont-armchair5.jpg",,25T-TOV-A151,mayfair armchair,"31""W x 32.5""D x 34.7""H"
tf-000963,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Cliftonpark wing chair,"A+D Modern's Cliftonpark wing chair is the statement chair you've been searching for, offering the ideal contemporary modern seating element for your living room. Featuring sophisticated curves of plush velvet upholstery, the broad back and seat contours are formed around a solid wood frame, upon stainless steel legs.
",50,1,Taxable Goods,"Catalog, Search",969,Cliftonpark-wing-chair.jpg,,Cliftonpark-wing-chair.jpg,,Cliftonpark-wing-chair.jpg,,1000,1,0,"Cliftonpark-wing-chair1.jpg,Cliftonpark-wing-chair2.jpg,Cliftonpark-wing-chair3.jpg,Cliftonpark-wing-chair4.jpg,Cliftonpark-wing-chair5.jpg,Cliftonpark-wing-chair6.jpg,Cliftonpark-wing-chair7.jpg,Cliftonpark-wing-chair8.jpg",,25T-TOV-A145,mcclancy wing chair,"30.1""W x 34.3""D x 40.4""H"
tf-000962,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Clinton armchair,"Stunning from all vantage points, the stylish and chic Clinton armchair is a wonderful seating option and living room accent piece. Available in two elegant velvet upholstery options, the curved steel frame contours are finished in polished chrome or gold.",42,1,Taxable Goods,"Catalog, Search",929,Clinton-armchair.jpg,,Clinton-armchair.jpg,,Clinton-armchair.jpg,,1000,1,0,"Clinton-armchair1.jpg,Clinton-armchair2.jpg,Clinton-armchair3.jpg,Clinton-armchair4.jpg,Clinton-armchair5.jpg,Clinton-armchair6.jpg,Clinton-armchair7.jpg,Clinton-armchair8.jpg,Clinton-armchair9.jpg,Clinton-armchair10.jpg,Clinton-armchair11.jpg",,25T-TOV-A144,lynch armchair,"30.7""W x 27.4""D x 24.4""H"
tf-001034,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Covington ottoman,"Petitely proportioned, let A+D Modern's Covington ottoman provide the perfect perch for your feet or as a casual seating accent. Luxurious velvet upholstery with button tuft detail forms the plush seat pad atop a cross frame in glamorous gloss gold.",17,1,Taxable Goods,"Catalog, Search",379,Covington-ottoman.jpg,,Covington-ottoman.jpg,,Covington-ottoman.jpg,,1000,1,0,"Covington-ottoman1.jpg,Covington-ottoman2.jpg,Covington-ottoman3.jpg,Covington-ottoman4.jpg,Covington-ottoman5.jpg,Covington-ottoman6.jpg,Covington-ottoman7.jpg,Covington-ottoman8.jpg,Covington-ottoman9.jpg,Covington-ottoman10.jpg,Covington-ottoman11.jpg",,25T-TOV-OC3718,maple velvet ottoman,"20.5""W x 20.5""D x 17.8""H"
tf-001035,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Style Sofas",base,Coxsackie sofa,"Finished in four color choices of soft velvet upholstery, A+D Modern's Coxsackie has a box frame, deep seat, and full tufting detail. Set upon translucent Lucite legs it creates a sleek, modern look for your home's living room space.",115,1,Taxable Goods,"Catalog, Search",2099,Coxsackie-sofa.jpg,,Coxsackie-sofa.jpg,,Coxsackie-sofa.jpg,,1000,1,0,"Coxsackie-sofa1.jpg,Coxsackie-sofa2.jpg,Coxsackie-sofa3.jpg,Coxsackie-sofa4.jpg,Coxsackie-sofa5.jpg,Coxsackie-sofa6.jpg,Coxsackie-sofa7.jpg,Coxsackie-sofa8.jpg,Coxsackie-sofa9.jpg,Coxsackie-sofa10.jpg,Coxsackie-sofa11.jpg",,25T-TOV-S109,lawrence velvet sofa,"91.9""W x 38.2""D x 26.2""H """
tf-001036,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Style Sofas",base,Crawford sofa,"Curvy and comfortable, A+D Modern's Crawford velvet sofa invites you to sit back and relax. Finished in your choice of luxurious gray or navy velvet upholstery, it sits upon gold stainless steel legs to make a stylish impression in your living space.",113,1,Taxable Goods,"Catalog, Search",1999,Crawford-sofa.jpg,,Crawford-sofa.jpg,,Crawford-sofa.jpg,,1000,1,0,"Crawford-sofa1.jpg,Crawford-sofa2.jpg,Crawford-sofa3.jpg,Crawford-sofa4.jpg,Crawford-sofa5.jpg,Crawford-sofa6.jpg,Crawford-sofa7.jpg",,25T-TOV-S135,maujer velvet sofa,"89.4""W x 44.1""D x 33""H"
tf-001001,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods",base,Danby buffet,"With its industrial-rustic modern styling, A+D Modern's Danby buffet promises eye-catching appeal in your home's entertaining space. Offering ample storage space, it is crafted in solid Elm with a washed gray finish and a black metal frame.",238,1,Taxable Goods,"Catalog, Search",2099,Danby-buffet.jpg,,Danby-buffet.jpg,,Danby-buffet.jpg,,1000,1,0,"Danby-buffet1.jpg,Danby-buffet2.jpg,Danby-buffet3.jpg,Danby-buffet4.jpg",,25T-TOV-G5466,lyme buffet,"81.5""W x 19.7""D x 31.5""H"
